year,skpd,name,dpa
2013,SEKRETARIAT DPRD,Tunjangan Umum,"366,344,225"
2013,INSPEKTORAT,Pembulatan Gaji,"241,972"
2013,BADAN PENGELOLA KEUANGAN DAERAH,Tunjangan Khusus (PPh)/Tunjangan PPh,"8,473,356,057"
2013,DINAS PERHUBUNGAN,Tunjangan Beras,"3,520,911,120"
2013,Sekretariat Dewan Pengurus KORPRI Provinsi,Biaya Kematian Pegawai Negeri Sipil Daerah,"27,829,500,000"
2013,Kota Administrasi Jakarta Utara,Tunjangan Kinerja,"47,000,131,438"
2013,DINAS PEMADAM KEBAKARAN Dan PENANGGULANGAN BENCANA,Tunjangan Khusus (PPh)/Tunjangan PPh,"21,001,906,377"
2013,SEKRETARIAT DAERAH,Iuran Asuransi Kesehatan,"62,000,000,000"
2013,Kota Administrasi Jakarta Barat,Tunjangan Fungsional,"3,664,375"
2013,BLUD RS Budhi Asih,Tunjangan Khusus (PPh)/Tunjangan PPh,"2,644,267,031"
2013,BLUD RS Duren Sawit,Tunjangan Keluarga,"531,187,800"
2013,DPRD Provinsi,Tunjangan Badan Kehormatan ,"16,443,000"
2013,BLUD RS Tarakan,Gaji Pokok,"8,926,111,745"
2013,BADAN PENDIDIKAN Dan PELATIHAN,Tunjangan Jabatan,"189,614,750"
2013,Kota Administrasi Jakarta Utara,Tunjangan Beras,"1,403,166,300"
2013,Badan Penanggulangan Bencana Daerah,Gaji Pokok,"809,702,286"
2013,Kota Administrasi Jakarta Timur,Tunjangan Keluarga,"5,208,106,872"
2013,DINAS PENDIDIKAN,Tunjangan Jabatan,"3,791,828,625"
2013,DINAS PARIWISATA DAN KEBUDAYAAN,Gaji Pokok,"28,523,575,616"
2013,DINAS PELAYANAN PAJAK,Tunjangan Jabatan,"2,614,764,750"
2013,DINAS TATA RUANG DAN PERTANAHAN,Tunjangan Jabatan,"977,388,750"
2013,SEKRETARIAT DAERAH,Pembulatan Gaji,"735,053"
2013,Kota Administrasi Jakarta Selatan,Pembulatan Gaji,"891,988"
2013,Kota Administrasi Jakarta Pusat,Pembulatan Gaji,"583,582"
2013,DINAS KEBERSIHAN,Tunjangan Jabatan,"1,024,892,375"
2013,BLUD RS Koja,Pembulatan Gaji,"191,409"
2013,"DINAS KOMUNIKASI, INFORMATIKA Dan KEHUMASAN",Pembulatan Gaji,"335,614"
2013,Sekretariat Dewan Pengurus KORPRI Provinsi,Tunjangan Beras,"97,909,248"
2013,Kota Administrasi Jakarta Utara,Tunjangan Umum,"821,752,750"
2013,Kota Administrasi Jakarta Timur,Tunjangan Jabatan,"5,380,501,750"
2013,DINAS PERTAMANAN DAN PEMAKAMAN,Tunjangan Jabatan,"1,134,623,750"
2013,BADAN PENGELOLA LINGKUNGAN HIDUP DAERAH,Tunjangan Umum,"425,400,625"
2013,BADAN PERPUSTAKAAN DAN ARSIP DAERAH,Tunjangan Umum,"501,752,875"
2013,DINAS PEMADAM KEBAKARAN Dan PENANGGULANGAN BENCANA,Tunjangan Jabatan,"1,014,698,750"
2013,DINAS PERINDUSTRIAN Dan ENERGI,Pembulatan Gaji,"293,007"
2013,DINAS KESEHATAN,Tunjangan Beras,"9,932,432,100"
2013,BADAN PERENCANAAN PEMBANGUNAN DAERAH,Gaji Pokok,"10,254,469,961"
2013,DINAS PENDIDIKAN,Gaji Pokok,"1,950,432,038,192"
2013,DINAS PERHUBUNGAN,Gaji Pokok,"50,770,126,107"
2013,BADAN PERPUSTAKAAN DAN ARSIP DAERAH,Tunjangan Fungsional,"149,106,750"
2013,BADAN PENGELOLA KEUANGAN DAERAH,Tunjangan Umum,"1,505,125,375"
2013,DINAS PENDIDIKAN,Biaya Guru NIP 15,"38,436,000,000"
2013,BLUD RS Cengkareng,Tunjangan Khusus (PPh)/Tunjangan PPh,"296,373,984"
2013,Kota Administrasi Jakarta Utara,Tunjangan Khusus (PPh)/Tunjangan PPh,"10,786,494,867"
2013,"DINAS KOMUNIKASI, INFORMATIKA Dan KEHUMASAN",Tunjangan Kinerja,"16,597,601,274"
2013,"BADAN PEMBERDAYAAN MASYARAKAT, PEREMPUAN DAN KB",Tunjangan Khusus (PPh)/Tunjangan PPh,"15,379,803,201"
2013,DINAS PARIWISATA DAN KEBUDAYAAN,Pembulatan Gaji,"501,687"
2013,BADAN PENGELOLA LINGKUNGAN HIDUP DAERAH,Tunjangan Kinerja,"13,927,224,392"
2013,DINAS KEPENDUDUKAN Dan PENCATATAN SIPIL,Tunjangan Kinerja,"34,156,841,863"
2013,DINAS TATA RUANG DAN PERTANAHAN,Gaji Pokok,"14,208,983,432"
2013,DPRD Provinsi,Tunjangan Jabatan ,"3,703,590,000"
2013,BLUD RS Koja,Tunjangan Fungsional,"1,228,884,800"
2013,DINAS PERUMAHAN DAN GEDUNG PEMDA,Tunjangan Beras,"679,899,600"
2013,BLUD RS Pasar Rebo,Tunjangan Keluarga,"762,436,759"
2013,Kota Administrasi Jakarta Pusat,Tunjangan Umum,"814,757,125"
2013,DINAS TENAGA KERJA Dan TRANSMIGRASI,Tunjangan Kinerja,"51,724,900,000"
2013,Kota Administrasi Jakarta Barat,Gaji Pokok,"40,256,138,952"
2013,BLUD RS Koja,Gaji Pokok,"10,082,439,574"
2013,BLUD RS Duren Sawit,Tunjangan Kinerja,"6,644,302,000"
2013,DINAS TATA RUANG DAN PERTANAHAN,Tunjangan Umum,"648,461,125"
2013,BADAN KESATUAN BANGSA Dan POLITIK,Tunjangan Beras,"286,728,840"
2013,SEKRETARIAT DAERAH,Tunjangan Fungsional,"11,392,875"
2013,DINAS SOSIAL,Tunjangan Kinerja,"52,437,252,000"
2013,BADAN PERPUSTAKAAN DAN ARSIP DAERAH,Tunjangan Khusus (PPh)/Tunjangan PPh,"3,158,905,047"
2013,"BADAN PEMBERDAYAAN MASYARAKAT, PEREMPUAN DAN KB",Tunjangan Jabatan,"1,097,313,750"
